model,correct-label,pred-label,certainty
whisper_specrnet,Fake,Real,0.9999377727508545
rawgat,Fake,Fake,0.19707388877868653
xlsr,Fake,Fake,0.00038055874407291415
vocoder,Fake,Real,0.9672120597627428
whisper_specrnet,Fake,Fake,0.000648466229904443
rawgat,Fake,Fake,0.13734941482543944
xlsr,Fake,Fake,0.0005148628726601601
vocoder,Fake,Real,0.8570412272321326
whisper_specrnet,Fake,Fake,0.018568141385912895
rawgat,Fake,Real,0.08353290557861329
xlsr,Fake,Fake,0.00037922170013189317
vocoder,Fake,Real,0.8858963427317823
whisper_specrnet,Fake,Real,0.9779431819915771
rawgat,Fake,Fake,0.0072577476501464845
xlsr,Fake,Fake,0.0004226070269942284
vocoder,Fake,Real,0.8939705257614453
whisper_specrnet,Fake,Real,0.9903843402862549
rawgat,Fake,Fake,0.11853089332580566
xlsr,Fake,Fake,0.000711774155497551
vocoder,Fake,Real,0.9705331921577454
whisper_specrnet,Fake,Real,0.9996318817138672
rawgat,Fake,Fake,0.3841968059539795
xlsr,Fake,Fake,0.0005743617936968804
vocoder,Fake,Real,0.9374966747833021
whisper_specrnet,Fake,Fake,0.12405019998550415
rawgat,Fake,Real,0.3195445969700813
xlsr,Fake,Fake,0.00048000868409872057
vocoder,Fake,Real,0.9425923414893254
whisper_specrnet,Fake,Fake,0.0004440948832780123
rawgat,Fake,Real,0.033944439888000486
xlsr,Fake,Fake,0.0007984189689159393
vocoder,Fake,Real,0.7962880326825118
whisper_specrnet,Fake,Real,0.9780901670455933
rawgat,Fake,Fake,0.08935539722442627
xlsr,Fake,Fake,0.0006281588971614837
vocoder,Fake,Real,0.9796483350607256
whisper_specrnet,Fake,Fake,0.016102489084005356
rawgat,Fake,Real,0.45
xlsr,Fake,Fake,0.00040770456194877625
vocoder,Fake,Real,0.9348652437329292
whisper_specrnet,Fake,Fake,0.00023608423362020403
rawgat,Fake,Real,0.027312469482421876
xlsr,Fake,Fake,0.0003556850552558899
vocoder,Fake,Real,0.8943646639585495
whisper_specrnet,Fake,Real,0.9999936819076538
rawgat,Fake,Fake,0.22357959747314454
xlsr,Fake,Fake,0.0006365897506475449
vocoder,Fake,Fake,0.8655143804904722
whisper_specrnet,Fake,Real,0.995487630367279
rawgat,Fake,Real,0.29643251448869706
xlsr,Fake,Fake,0.0007754591852426529
vocoder,Fake,Real,0.8837088515181137
whisper_specrnet,Fake,Fake,1.4215569535735995e-05
rawgat,Fake,Real,0.45
xlsr,Fake,Fake,0.0004826296120882034
vocoder,Fake,Real,0.7657795220814023
whisper_specrnet,Fake,Fake,0.015089493244886398
rawgat,Fake,Real,0.41984584331512453
xlsr,Fake,Fake,0.0004614551365375519
vocoder,Fake,Fake,0.6477708552813377
whisper_specrnet,Fake,Real,0.9878326654434204
rawgat,Fake,Fake,0.07011616230010986
xlsr,Fake,Fake,0.0004832032322883606
vocoder,Fake,Real,0.5227587869978442
whisper_specrnet,Fake,Real,0.9931797981262207
rawgat,Fake,Fake,0.16400752067565919
xlsr,Fake,Fake,0.000526391789317131
vocoder,Fake,Real,0.9757224154913834
whisper_specrnet,Fake,Fake,0.035170651972293854
rawgat,Fake,Fake,0.45
xlsr,Fake,Fake,0.00040886156260967256
vocoder,Fake,Real,0.9953209925920535
whisper_specrnet,Fake,Fake,0.18119759857654572
rawgat,Fake,Real,0.1669020652770996
xlsr,Fake,Fake,0.0006188985332846641
vocoder,Fake,Real,0.8660770310928265
whisper_specrnet,Fake,Real,0.9998970031738281
rawgat,Fake,Fake,0.3491766929626465
xlsr,Fake,Fake,0.0004996335878968239
vocoder,Fake,Fake,0.6457140722373996
whisper_specrnet,Fake,Fake,0.0050117988139390945
rawgat,Fake,Fake,0.018386983871459962
xlsr,Fake,Fake,0.0005145469680428505
vocoder,Fake,Real,0.6138355483843309
whisper_specrnet,Fake,Fake,0.0003709059674292803
rawgat,Fake,Real,0.45
xlsr,Fake,Fake,0.0005474033951759339
vocoder,Fake,Real,0.9854072100715712
whisper_specrnet,Fake,Real,0.9999946355819702
rawgat,Fake,Real,0.3254527747631073
xlsr,Fake,Fake,0.0005563423410058022
vocoder,Fake,Fake,0.7379551997801173
whisper_specrnet,Fake,Fake,0.00014998034748714417
rawgat,Fake,Fake,0.45
xlsr,Fake,Fake,0.0003553491085767746
vocoder,Fake,Real,0.9979840530289544
whisper_specrnet,Fake,Real,0.999795138835907
rawgat,Fake,Real,0.00015931129455566407
xlsr,Fake,Fake,0.0005481245368719101
vocoder,Fake,Real,0.9787592494487762
whisper_specrnet,Fake,Real,0.9999991655349731
rawgat,Fake,Fake,0.06501061916351318
xlsr,Fake,Fake,0.0005404014140367508
vocoder,Fake,Fake,0.9927654535997481
whisper_specrnet,Fake,Real,0.9998898506164551
rawgat,Fake,Fake,0.05215449333190918
xlsr,Fake,Fake,0.0005898621305823326
vocoder,Fake,Real,0.6933534005390746
whisper_specrnet,Fake,Fake,0.04627027362585068
rawgat,Fake,Real,0.1865772485733032
xlsr,Fake,Fake,0.0007540296763181686
vocoder,Fake,Real,0.9634014052163254
whisper_specrnet,Fake,Fake,0.00677878875285387
rawgat,Fake,Real,0.0047007322311401365
xlsr,Fake,Fake,0.0005627303197979927
vocoder,Fake,Real,0.9682844253827114
whisper_specrnet,Fake,Fake,0.05285503715276718
rawgat,Fake,Real,0.2976677447557449
xlsr,Fake,Fake,0.00052411038428545
vocoder,Fake,Real,0.9467776202469725
whisper_specrnet,Fake,Fake,7.527009415753128e-07
rawgat,Fake,Real,0.16423501968383789
xlsr,Fake,Fake,0.0006480441242456436
vocoder,Fake,Real,0.9375366045789298
whisper_specrnet,Fake,Fake,0.000520389003213495
rawgat,Fake,Real,0.3766034424304962
xlsr,Fake,Fake,0.0005503305047750473
vocoder,Fake,Real,0.9119328409142327
whisper_specrnet,Fake,Real,0.9998981952667236
rawgat,Fake,Fake,0.27431650161743165
xlsr,Fake,Fake,0.000518091581761837
vocoder,Fake,Real,0.9716946890902758
whisper_specrnet,Fake,Fake,0.0076622916385531425
rawgat,Fake,Fake,0.38640751838684084
xlsr,Fake,Fake,0.0005549395456910134
vocoder,Fake,Real,0.9998943209648132
whisper_specrnet,Fake,Real,0.9990229606628418
rawgat,Fake,Real,0.093300199508667
xlsr,Fake,Fake,0.0005707796290516853
vocoder,Fake,Real,0.7367439052394155
whisper_specrnet,Fake,Real,0.999504566192627
rawgat,Fake,Fake,0.23381567001342773
xlsr,Fake,Fake,0.0006569973379373551
vocoder,Fake,Real,0.9464215297842972
whisper_specrnet,Fake,Fake,0.0002648146473802626
