model,correct-label,pred-label,certainty
whisper_specrnet,Fake,Fake,0.11963333189487457
rawgat,Fake,Real,0.004316306114196778
xlsr,Fake,Fake,0.00039577439427375795
vocoder,Fake,Real,0.5496920903440494
whisper_specrnet,Fake,Fake,0.00010798096627695486
rawgat,Fake,Real,0.2606878161430359
xlsr,Fake,Fake,0.00042152248322963715
vocoder,Fake,Fake,0.7162841364311484
whisper_specrnet,Fake,Fake,0.1509859561920166
rawgat,Fake,Real,0.19359155893325805
xlsr,Fake,Fake,0.0009815416485071183
vocoder,Fake,Fake,0.7582677217404696
whisper_specrnet,Fake,Fake,7.735415010756697e-07
rawgat,Fake,Real,0.004676103591918945
xlsr,Fake,Fake,0.0003939466178417206
vocoder,Fake,Fake,0.7378168401135154
whisper_specrnet,Fake,Fake,2.852087709470652e-05
rawgat,Fake,Real,0.07506427764892579
xlsr,Fake,Fake,0.0004135693982243538
vocoder,Fake,Real,0.9835358262062073
whisper_specrnet,Fake,Fake,0.0006120095495134592
rawgat,Fake,Real,0.003919339179992676
xlsr,Fake,Fake,0.00040832597762346267
vocoder,Fake,Fake,0.660535696009174
whisper_specrnet,Fake,Real,0.9884663820266724
rawgat,Fake,Real,0.16190696954727174
xlsr,Fake,Fake,0.00040747225284576416
vocoder,Fake,Fake,0.8637864032760263
whisper_specrnet,Fake,Fake,6.334784848149866e-05
rawgat,Fake,Real,0.2023665189743042
xlsr,Fake,Fake,0.0004788133129477501
vocoder,Fake,Real,0.5881766215884454
whisper_specrnet,Fake,Fake,0.000742576492484659
rawgat,Fake,Real,0.006669974327087403
xlsr,Fake,Fake,0.000395243838429451
vocoder,Fake,Fake,0.6381825665627027
whisper_specrnet,Fake,Fake,7.044916128506884e-05
rawgat,Fake,Fake,0.4008345127105713
xlsr,Fake,Fake,0.0007234776020050049
vocoder,Fake,Fake,0.6578937813448176
whisper_specrnet,Fake,Real,0.9992000460624695
rawgat,Fake,Real,0.010027241706848145
xlsr,Fake,Fake,0.0004221875965595245
vocoder,Fake,Fake,0.9665285040225301
whisper_specrnet,Fake,Fake,5.312830353432219e-07
rawgat,Fake,Real,0.08596117496490478
xlsr,Fake,Fake,0.0003534863144159317
vocoder,Fake,Real,0.5889979155390392
whisper_specrnet,Fake,Fake,0.0068849180825054646
rawgat,Fake,Real,0.0075781822204589845
xlsr,Fake,Fake,0.00038956087082624434
vocoder,Fake,Real,0.5916140112519945
whisper_specrnet,Fake,Fake,0.0007353131077252328
rawgat,Fake,Real,0.05229449272155762
xlsr,Fake,Fake,0.00040797121822834016
vocoder,Fake,Fake,0.7320681753547185
whisper_specrnet,Fake,Fake,0.0023302610497921705
rawgat,Fake,Real,0.003981637954711914
xlsr,Fake,Fake,0.0003952747955918312
vocoder,Fake,Fake,0.8286923135028166
whisper_specrnet,Fake,Fake,0.0009012336959131062
rawgat,Fake,Real,0.007604026794433593
xlsr,Fake,Fake,0.0003934893384575844
vocoder,Fake,Real,0.5917520643335107
whisper_specrnet,Fake,Fake,0.00023854305618442595
rawgat,Fake,Real,0.005104947090148926
xlsr,Fake,Fake,0.00039805661886930464
vocoder,Fake,Fake,0.7430860897008743
whisper_specrnet,Fake,Fake,0.0013629483291879296
rawgat,Fake,Real,0.004706621170043945
xlsr,Fake,Fake,0.00039856065064668655
vocoder,Fake,Fake,0.6032527470961213
whisper_specrnet,Fake,Fake,0.011986477300524712
rawgat,Fake,Real,0.17320574522018434
xlsr,Fake,Fake,0.0006129712983965874
vocoder,Fake,Fake,0.6514005431978914
whisper_specrnet,Fake,Fake,0.0005012899055145681
rawgat,Fake,Real,0.45
xlsr,Fake,Fake,0.000419868566095829
vocoder,Fake,Fake,0.6402101981767206
whisper_specrnet,Fake,Fake,1.457726102671586e-05
rawgat,Fake,Fake,0.04413306713104248
xlsr,Fake,Fake,0.00043989464640617373
vocoder,Fake,Real,0.6583090260066092
whisper_specrnet,Fake,Real,0.9999792575836182
rawgat,Fake,Real,0.01601083278656006
xlsr,Fake,Fake,0.00044346582144498824
vocoder,Fake,Fake,0.8546359346344966
whisper_specrnet,Fake,Fake,0.001077787484973669
rawgat,Fake,Real,0.3587449431419373
